# Spectral Data
f in Hz	A in dBV
833.496094	-15.459748
834.960937	-15.471485
836.425781	-15.448627
837.890625	-15.433152
839.355469	-15.397482
840.820312	-15.395120
842.285156	-15.402008
843.750000	-15.403833
845.214844	-15.357456
846.679687	-15.356693
848.144531	-15.342523
849.609375	-15.298907
851.074219	-15.154114
852.539062	-15.077433
854.003906	-15.021273
855.468750	-15.046676
856.933594	-15.111691
858.398437	-15.195954
859.863281	-15.262489
861.328125	-15.348960
862.792969	-15.351171
864.257812	-15.387859
865.722656	-15.452435
867.187500	-15.397131
868.652344	-15.356744
870.117187	-15.357652
871.582031	-15.371698
873.046875	-15.396489
874.511719	-15.429298
875.976562	-15.455403
877.441406	-15.402126
878.906250	-15.377675
880.371094	-15.350168
881.835937	-15.306791
883.300781	-15.252884
884.765625	-15.261337
886.230469	-15.281434
887.695312	-15.275408
889.160156	-15.247520
890.625000	-15.179953
892.089844	-15.167224
893.554687	-15.190860
895.019531	-15.255255
896.484375	-15.293774
897.949219	-15.301737
899.414062	-15.287864
900.878906	-15.325902
902.343750	-15.311936
903.808594	-15.304578
905.273437	-15.249774
906.738281	-15.241011
908.203125	-15.217416
909.667969	-15.228876
911.132812	-15.241107
912.597656	-15.248321
914.062500	-15.177168
915.527344	-15.174051
916.992187	-15.116615
918.457031	-15.108701
919.921875	-15.102402
921.386719	-15.048577
922.851562	-15.021836
924.316406	-15.027395
925.781250	-14.958275
927.246094	-14.937180
928.710937	-14.956937
930.175781	-14.988891
931.640625	-15.056458
933.105469	-15.019367
934.570312	-15.002623
936.035156	-14.974749
937.500000	-14.980125
938.964844	-14.947582
940.429687	-14.932065
941.894531	-14.898926
943.359375	-14.850350
944.824219	-14.871073
946.289062	-14.965951
947.753906	-15.028143
949.218750	-15.075513
950.683594	-15.039570
952.148437	-15.008183
953.613281	-14.909490
955.078125	-14.912118
956.542969	-14.928312
958.007812	-14.943382
959.472656	-15.014142
960.937500	-15.087992
962.402344	-15.169458
963.867187	-15.239845
965.332031	-15.265679
966.796875	-15.262414
968.261719	-15.258513
969.726562	-15.226130
971.191406	-15.228080
972.656250	-15.219504
974.121094	-15.230701
975.585937	-15.210310
977.050781	-15.181025
978.515625	-15.162549
979.980469	-15.200241
981.445312	-15.239871
982.910156	-15.253564
984.375000	-15.291048
985.839844	-15.360275
987.304687	-15.357789
988.769531	-15.297949
990.234375	-15.258385
991.699219	-15.235794
993.164062	-15.248200
994.628906	-15.220354
996.093750	-15.221102
997.558594	-15.215402

