# Spectral Data
# f in Hz A in dBV
616.699219 -15.573044
618.164062 -15.570934
619.628906 -15.601685
621.093750 -15.603263
622.558594 -15.605926
624.023437 -15.593291
625.488281 -15.610167
626.953125 -15.599591
628.417969 -15.593374
629.882812 -15.592065
631.347656 -15.591871
632.812500 -15.569560
634.277344 -15.559706
635.742187 -15.542381
637.207031 -15.532228
638.671875 -15.514054
640.136719 -15.443786
641.601562 -15.395530
643.066406 -15.387838
644.531250 -15.376248
645.996094 -15.370612
647.460937 -15.369522
648.925781 -15.374673
650.390625 -15.292843
651.855469 -15.174276
653.320312 -14.999118
654.785156 -14.820761
656.250000 -14.745918
657.714844 -14.785999
659.179687 -14.887376
660.644531 -14.960958
662.109375 -14.991187
663.574219 -14.934804
665.039062 -14.890015
666.503906 -14.861391
667.968750 -14.837300
669.433594 -14.777779
670.898437 -14.712898
672.363281 -14.678362
673.828125 -14.638454
675.292969 -14.590422
676.757812 -14.541002
678.222656 -14.478295
679.687500 -14.412554
681.152344 -14.272281
682.617187 -14.135284
684.082031 -14.034068
685.546875 -13.960041
687.011719 -13.876243
688.476562 -13.772155
689.941406 -13.666476
691.406250 -13.593281
692.871094 -13.503967
694.335937 -13.408227
695.800781 -13.370622
697.265625 -13.353015
698.730469 -13.364103
700.195312 -13.388690
701.660156 -13.432215
703.125000 -13.515746
704.589844 -13.588257
706.054687 -13.638010
707.519531 -13.679247
708.984375 -13.746753
710.449219 -13.855251
711.914062 -13.921336
713.378906 -13.965885
714.843750 -13.953269
716.308594 -14.021736
717.773437 -14.082715
719.238281 -14.118956
720.703125 -14.160516
722.167969 -14.213296
723.632812 -14.233227
725.097656 -14.287684
726.562500 -14.346671
728.027344 -14.438006
729.492187 -14.525620
730.957031 -14.580018
732.421875 -14.605969
733.886719 -14.664816
735.351562 -14.715723
736.816406 -14.781544
738.281250 -14.805060
739.746094 -14.852988
741.210937 -14.890683
742.675781 -14.949302
744.140625 -14.983804
745.605469 -15.008080
747.070312 -15.069728
748.535156 -15.067959
750.000000 -15.120314
751.464844 -15.133561
752.929687 -14.989908
754.394531 -14.758368
755.859375 -14.633327
757.324219 -14.651330
758.789062 -14.827853
760.253906 -15.122556
761.718750 -15.376657
763.183594 -15.481720
764.648437 -15.499110
766.113281 -15.507402
767.578125 -15.538855
769.042969 -15.562337
770.507812 -15.578511
771.972656 -15.606597
773.437500 -15.604144
774.902344 -15.631531
776.367187 -15.663367
777.832031 -15.694108
779.296875 -15.724193
780.761719 -15.779925
782.226562 -15.818595
783.691406 -15.871923
785.156250 -15.867487
786.621094 -15.865945
788.085937 -15.853088
789.550781 -15.822545
791.015625 -15.801950
792.480469 -15.789661
793.945312 -15.763289
795.410156 -15.773015
796.875000 -15.765834
798.339844 -15.770886
799.804687 -15.804505
801.269531 -15.801056
802.734375 -15.767006
804.199219 -15.744370
805.664062 -15.759626
807.128906 -15.730573
808.593750 -15.718206
810.058594 -15.717611
811.523437 -15.665605
812.988281 -15.614504
814.453125 -15.571896
815.917969 -15.516163
817.382812 -15.452993
818.847656 -15.389408
820.312500 -15.357914
821.777344 -15.302789
823.242187 -15.216965
824.707031 -15.177738
826.171875 -15.096363
827.636719 -15.042918
829.101562 -14.970274
830.566406 -14.899090
832.031250 -14.796316
833.496094 -14.700561
834.960937 -14.634589
836.425781 -14.604693
837.890625 -14.608658
839.355469 -14.647073
840.820312 -14.727889
842.285156 -14.805809
843.750000 -14.856848
845.214844 -14.941946
846.679687 -15.022461
848.144531 -15.094184
849.609375 -15.192958
851.074219 -15.254764
852.539062 -15.240139
854.003906 -15.144873
855.468750 -15.070829
856.933594 -15.069210
858.398437 -15.179455
859.863281 -15.394872
861.328125 -15.590408
862.792969 -15.719629
864.257812 -15.786584
865.722656 -15.836582
867.187500 -15.875680
868.652344 -15.901422
870.117187 -15.895595
871.582031 -15.887434
873.046875 -15.872953
874.511719 -15.878161
875.976562 -15.871367
877.441406 -15.861469
878.906250 -15.834605
880.371094 -15.843807
881.835937 -15.848809
883.300781 -15.865001
884.765625 -15.902757
886.230469 -15.921205
887.695312 -15.929410
889.160156 -15.957653
890.625000 -16.000488
892.089844 -16.018288
893.554687 -15.988807
895.019531 -15.947789
896.484375 -15.927242
897.949219 -15.874908
899.414062 -15.882648
